type	latitude	longitude	altitude (m)	eos	color	opacity	name	desc	kml_folder
T	-1.099076921	37.012150233	1520.6						
T	-1.099072690	37.012167307	1520.6						
T	-1.099051460	37.012192914	1520.6						
T	-1.099030226	37.012214251	1520.7						
T	-1.099013241	37.012231319	1520.7						
T	-1.098996251	37.012244118	1520.7						
T	-1.098983522	37.012261182	1520.7						
T	-1.098966549	37.012282509	1520.7						
T	-1.098953831	37.012303833	1520.8						
T	-1.098941114	37.012325155	1520.8						
T	-1.098928430	37.012363526	1520.8						
T	-1.098915701	37.012376315	1520.9						
T	-1.098907240	37.012397626	1520.9						
T	-1.098903031	37.012418935	1520.9						
T	-1.098894572	37.012440242	1520.9						
T	-1.098886122	37.012465805	1521.0						
T	-1.098881915	37.012487104	1521.0						
T	-1.098877717	37.012512660	1521.0						
T	-1.098877784	37.012546727	1521.1						
T	-1.098865100	37.012576531	1521.2						
T	-1.098865108	37.012580788	1521.2						
T	-1.098860904	37.012602072	1521.2						
T	-1.098852471	37.012631865	1521.3						
T	-1.098844030	37.012657396	1521.3						
T	-1.098835581	37.012678670	1521.4						
T	-1.098822906	37.012708448	1521.5						
T	-1.098814470	37.012733968	1521.5						
T	-1.098801770	37.012750978	1521.6						
T	-1.098793327	37.012772239	1521.6						
T	-1.098789120	37.012789246	1521.7						
T	-1.098784963	37.012827504	1521.8						
T	-1.098784982	37.012836005	1521.8						
T	-1.098780816	37.012870002	1521.9						
T	-1.098780943	37.012925232	1522.0						
T	-1.098780982	37.012942222	1522.0						
T	-1.098768511	37.013052612	1522.3						
T	-1.098764429	37.013120506	1522.5						
T	-1.098756050	37.013167165	1522.6						
T	-1.098751876	37.013218052	1522.7						
T	-1.098751937	37.013268931	1522.8						
T	-1.098747713	37.013277410	1522.9						
T	-1.098739310	37.013307079	1523.0						
T	-1.098735138	37.013332505	1523.0						
T	-1.098730968	37.013357926	1523.0						
T	-1.098726787	37.013379107	1523.0						
T	-1.098722618	37.013404519	1523.0						
T	-1.098718439	37.013425693	1523.0						
T	-1.098714292	37.013459566	1523.0						
T	-1.098710125	37.013484965	1523.0						
T	-1.098710167	37.013501896	1523.0						
T	-1.098705990	37.013523056	1523.0						
T	-1.098701803	37.013539981	1522.9						
T	-1.098697628	37.013561135	1522.9						
T	-1.098697693	37.013611931	1522.9						
T	-1.098697671	37.013641591	1522.9						
T	-1.098697584	37.013675527	1522.8						
T	-1.098697563	37.013684012	1522.8						
T	-1.098710162	37.013713734	1522.8						
T	-1.098727053	37.013718006	1522.8						
T	-1.098739731	37.013718027	1522.8						
T	-1.098756666	37.013705322	1522.8						
T	-1.098765179	37.013679873	1522.8						
T	-1.098773671	37.013662913	1522.8						
T	-1.098773740	37.013633213	1522.8						
T	-1.098773741	37.013612031	1522.8						
T	-1.098777928	37.013578164	1522.8						
T	-1.098786356	37.013557002	1522.8						
T	-1.098790559	37.013535833	1522.8						
T	-1.098790516	37.013497716	1522.8						
T	-1.098798937	37.013468073	1522.8						
T	-1.098807346	37.013438431	1522.8						
T	-1.098811522	37.013413020	1522.8						
T	-1.098819915	37.013379133	1522.8						
T	-1.098828319	37.013349475	1522.8						
T	-1.098836707	37.013311334	1522.7						
T	-1.098845107	37.013273182	1522.6						
T	-1.098845094	37.013260461	1522.6						
T	-1.098845010	37.013179885	1522.4						
T	-1.098844934	37.013107772	1522.3						
T	-1.098844893	37.013069588	1522.2						
T	-1.098844840	37.013044124	1522.2						
T	-1.098844795	37.013022899	1522.1						
T	-1.098844742	37.012997427	1522.1						
T	-1.098848923	37.012967704	1522.0						
T	-1.098853095	37.012933727	1521.9						
T	-1.098865747	37.012895495	1521.8						
T	-1.098869939	37.012870002	1521.8						
T	-1.098874140	37.012848754	1521.7						
T	-1.098878343	37.012827504	1521.7						
T	-1.098886790	37.012806251	1521.6						
T	-1.098899451	37.012767988	1521.5						
T	-1.098899443	37.012763736	1521.5						
T	-1.098903631	37.012733968	1521.5						
T	-1.098916258	37.012674416	1521.3						
T	-1.098928881	37.012610585	1521.2						
T	-1.098937284	37.012559501	1521.1						
T	-1.098941471	37.012525437	1521.0						
T	-1.098949909	37.012491364	1521.0						
T	-1.098954135	37.012478585	1521.0						
T	-1.098962590	37.012453024	1520.9						
T	-1.098966796	37.012427458	1520.9						
T	-1.098983733	37.012389103	1520.9						
T	-1.098996457	37.012372052	1520.8						
